DATAFLOW,LAST UPDATE,freq,unit,s_adj,sector10,sectpart,partner,stk_flow,bop_item,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:EI_BPM6CA_Q$DEFAULTVIEW(1.0),22/10/24 23:00:00,Q,MIO_EUR,NSA,S1,S1,EXT_EA20,CRE,G1,EA20,2022-Q1,646090.4,
ESTAT:EI_BPM6CA_Q$DEFAULTVIEW(1.0),22/10/24 23:00:00,Q,MIO_EUR,NSA,S1,S1,EXT_EA20,CRE,G1,EA20,2022-Q2,693734.1,
ESTAT:EI_BPM6CA_Q$DEFAULTVIEW(1.0),22/10/24 23:00:00,Q,MIO_EUR,NSA,S1,S1,EXT_EA20,CRE,G1,EA20,2022-Q3,704285.3,
ESTAT:EI_BPM6CA_Q$DEFAULTVIEW(1.0),22/10/24 23:00:00,Q,MIO_EUR,NSA,S1,S1,EXT_EA20,CRE,G1,EA20,2022-Q4,739114.6,
ESTAT:EI_BPM6CA_Q$DEFAULTVIEW(1.0),22/10/24 23:00:00,Q,MIO_EUR,NSA,S1,S1,EXT_EA20,CRE,G1,EA20,2023-Q1,699381.3,
ESTAT:EI_BPM6CA_Q$DEFAULTVIEW(1.0),22/10/24 23:00:00,Q,MIO_EUR,NSA,S1,S1,EXT_EA20,CRE,G1,EA20,2023-Q2,682782.2,
ESTAT:EI_BPM6CA_Q$DEFAULTVIEW(1.0),22/10/24 23:00:00,Q,MIO_EUR,NSA,S1,S1,EXT_EA20,CRE,G1,EA20,2023-Q3,657847.2,
ESTAT:EI_BPM6CA_Q$DEFAULTVIEW(1.0),22/10/24 23:00:00,Q,MIO_EUR,NSA,S1,S1,EXT_EA20,CRE,G1,EA20,2023-Q4,684435.8,
ESTAT:EI_BPM6CA_Q$DEFAULTVIEW(1.0),22/10/24 23:00:00,Q,MIO_EUR,NSA,S1,S1,EXT_EA20,CRE,G1,EA20,2024-Q1,671838.8,
ESTAT:EI_BPM6CA_Q$DEFAULTVIEW(1.0),22/10/24 23:00:00,Q,MIO_EUR,NSA,S1,S1,EXT_EA20,CRE,G1,EA20,2024-Q2,694077.3,
ESTAT:EI_BPM6CA_Q$DEFAULTVIEW(1.0),22/10/24 23:00:00,Q,MIO_EUR,NSA,S1,S1,EXT_EA20,CRE,G2,EA20,2022-Q1,14163.7,
ESTAT:EI_BPM6CA_Q$DEFAULTVIEW(1.0),22/10/24 23:00:00,Q,MIO_EUR,NSA,S1,S1,EXT_EA20,CRE,G2,EA20,2022-Q2,13110.0,
ESTAT:EI_BPM6CA_Q$DEFAULTVIEW(1.0),22/10/24 23:00:00,Q,MIO_EUR,NSA,S1,S1,EXT_EA20,CRE,G2,EA20,2022-Q3,20884.3,
ESTAT:EI_BPM6CA_Q$DEFAULTVIEW(1.0),22/10/24 23:00:00,Q,MIO_EUR,NSA,S1,S1,EXT_EA20,CRE,G2,EA20,2022-Q4,15092.8,
ESTAT:EI_BPM6CA_Q$DEFAULTVIEW(1.0),22/10/24 23:00:00,Q,MIO_EUR,NSA,S1,S1,EXT_EA20,CRE,G2,EA20,2023-Q1,12602.7,
ESTAT:EI_BPM6CA_Q$DEFAULTVIEW(1.0),22/10/24 23:00:00,Q,MIO_EUR,NSA,S1,S1,EXT_EA20,CRE,G2,EA20,2023-Q2,16586.8,
ESTAT:EI_BPM6CA_Q$DEFAULTVIEW(1.0),22/10/24 23:00:00,Q,MIO_EUR,NSA,S1,S1,EXT_EA20,CRE,G2,EA20,2023-Q3,22742.9,
ESTAT:EI_BPM6CA_Q$DEFAULTVIEW(1.0),22/10/24 23:00:00,Q,MIO_EUR,NSA,S1,S1,EXT_EA20,CRE,G2,EA20,2023-Q4,13162.2,
ESTAT:EI_BPM6CA_Q$DEFAULTVIEW(1.0),22/10/24 23:00:00,Q,MIO_EUR,NSA,S1,S1,EXT_EA20,CRE,G2,EA20,2024-Q1,17836.7,
ESTAT:EI_BPM6CA_Q$DEFAULTVIEW(1.0),22/10/24 23:00:00,Q,MIO_EUR,NSA,S1,S1,EXT_EA20,CRE,G2,EA20,2024-Q2,20052.4,
ESTAT:EI_BPM6CA_Q$DEFAULTVIEW(1.0),22/10/24 23:00:00,Q,MIO_EUR,NSA,S1,S1,EXT_EA20,CRE,GS,EA20,2022-Q1,966681.0,
ESTAT:EI_BPM6CA_Q$DEFAULTVIEW(1.0),22/10/24 23:00:00,Q,MIO_EUR,NSA,S1,S1,EXT_EA20,CRE,GS,EA20,2022-Q2,1043747.7,
ESTAT:EI_BPM6CA_Q$DEFAULTVIEW(1.0),22/10/24 23:00:00,Q,MIO_EUR,NSA,S1,S1,EXT_EA20,CRE,GS,EA20,2022-Q3,1085460.2,
ESTAT:EI_BPM6CA_Q$DEFAULTVIEW(1.0),22/10/24 23:00:00,Q,MIO_EUR,NSA,S1,S1,EXT_EA20,CRE,GS,EA20,2022-Q4,1111736.0,
ESTAT:EI_BPM6CA_Q$DEFAULTVIEW(1.0),22/10/24 23:00:00,Q,MIO_EUR,NSA,S1,S1,EXT_EA20,CRE,GS,EA20,2023-Q1,1037037.9,
ESTAT:EI_BPM6CA_Q$DEFAULTVIEW(1.0),22/10/24 23:00:00,Q,MIO_EUR,NSA,S1,S1,EXT_EA20,CRE,GS,EA20,2023-Q2,1046233.9,
ESTAT:EI_BPM6CA_Q$DEFAULTVIEW(1.0),22/10/24 23:00:00,Q,MIO_EUR,NSA,S1,S1,EXT_EA20,CRE,GS,EA20,2023-Q3,1046043.3,
